"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-06","2019","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-07","2019","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-08","2019","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-09","2019","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-10","2019","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-11","2019","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-12","2019","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-13","2019","02","13","†","-2.0","","-18.5","","-10.3","","28.3","","0.0","","0.0","","8.0","","5.6","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-14","2019","02","14","†","-1.0","","-6.0","","-3.5","","21.5","","0.0","","0.0","","2.0","","2.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-15","2019","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-16","2019","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-17","2019","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-18","2019","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-19","2019","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-20","2019","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-21","2019","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-22","2019","02","22","†","-5.0","","-17.5","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-23","2019","02","23","†","-8.0","","-18.5","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-24","2019","02","24","†","-6.0","","-20.0","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-25","2019","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-26","2019","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-27","2019","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-02-28","2019","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-01","2019","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-02","2019","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-03","2019","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-04","2019","03","04","†","2.0","","-12.5","","-5.3","","23.3","","0.0","","0.0","","3.0","","13.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-05","2019","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-06","2019","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-07","2019","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-08","2019","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-09","2019","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-10","2019","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-11","2019","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-12","2019","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-13","2019","03","13","†","4.0","","-3.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-14","2019","03","14","†","3.0","","-12.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-15","2019","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-16","2019","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-17","2019","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-18","2019","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-55.80","47.98","BAY D'ESPOIR GEN STN","8400413","2019-03-19","2019","03","19","","","","","","","","","","","","","","","","","","","","","","",""
